step,loss_function,target_value,elapsed_time
0,4.64647e-02,3.26704e-01,0
100,3.11118e-02,2.78810e-01,14
200,2.02700e-02,2.36408e-01,17
300,1.27998e-02,1.98851e-01,20
400,7.79982e-03,1.66546e-01,23
500,4.63149e-03,1.39430e-01,27
600,2.68567e-03,1.17057e-01,31
700,1.51932e-03,9.90447e-02,36
800,8.84059e-04,8.51962e-02,41
900,5.42497e-04,7.48097e-02,47
1000,3.74859e-04,6.71009e-02,51
1100,3.01742e-04,6.17512e-02,54
1200,2.69237e-04,5.81502e-02,58
1300,2.58906e-04,5.60873e-02,62
1400,2.52914e-04,5.48026e-02,65
1500,2.50584e-04,5.37956e-02,69
1600,2.46721e-04,5.32554e-02,73
1700,2.45550e-04,5.29391e-02,76
1800,2.38155e-04,5.26090e-02,80
1900,2.38897e-04,5.28032e-02,84
2000,2.39438e-04,5.29802e-02,90
2100,2.35567e-04,5.27907e-02,95
2200,2.32389e-04,5.28737e-02,98
2300,2.25222e-04,5.28153e-02,102
2400,2.20622e-04,5.28594e-02,106
2500,2.17962e-04,5.30970e-02,109
2600,2.14881e-04,5.31939e-02,113
2700,2.08747e-04,5.27748e-02,117
2800,2.08555e-04,5.27144e-02,122
2900,2.06357e-04,5.30464e-02,126
3000,1.99717e-04,5.29367e-02,130
3100,1.93745e-04,5.28938e-02,135
3200,1.86814e-04,5.28071e-02,139
3300,1.85601e-04,5.28412e-02,145
3400,1.80246e-04,5.28961e-02,149
3500,1.76120e-04,5.24785e-02,154
3600,1.71909e-04,5.31371e-02,161
3700,1.63359e-04,5.31360e-02,165
3800,1.58780e-04,5.30256e-02,170
3900,1.55781e-04,5.31523e-02,175
4000,1.52723e-04,5.31551e-02,180
