step,loss_function,target_value,elapsed_time
0,1.22471e+01,7.40045e-01,0
100,1.58553e-01,9.11470e-01,18
200,1.58983e-01,9.37644e-01,22
300,1.41339e-01,9.72302e-01,26
400,1.92826e-01,1.01415e+00,30
500,9.55324e-01,1.05744e+00,34
600,1.56345e-01,1.09706e+00,38
700,1.15929e-01,1.13732e+00,42
800,7.31614e-02,1.16935e+00,47
900,7.10176e-02,1.20377e+00,51
1000,5.62501e-02,1.22923e+00,55
1100,8.72187e-02,1.25820e+00,59
1200,5.59970e-02,1.28097e+00,62
1300,5.16889e-02,1.30412e+00,66
1400,5.81885e-02,1.32752e+00,69
1500,4.34109e-02,1.34748e+00,73
1600,4.27878e-02,1.37007e+00,76
1700,5.01698e-02,1.39303e+00,80
1800,4.12658e-02,1.41368e+00,85
1900,6.25665e-02,1.43942e+00,89
2000,4.28932e-02,1.46082e+00,92
