step,loss_function,target_value,elapsed_time
0,1.42623e+01,8.08437e-01,0
100,7.58683e+00,1.75563e+00,16
200,3.45408e+00,2.50437e+00,20
300,2.07289e+00,3.00821e+00,23
400,1.43936e+00,3.38709e+00,27
500,8.79846e-01,3.72983e+00,30
600,4.37283e-01,4.03883e+00,33
700,1.70983e-01,4.28177e+00,37
800,5.84631e-02,4.44549e+00,40
900,3.00913e-02,4.53205e+00,43
1000,2.46415e-02,4.57156e+00,47
1100,2.38639e-02,4.59121e+00,50
1200,2.46008e-02,4.59942e+00,53
1300,2.41534e-02,4.60024e+00,57
1400,2.38892e-02,4.59901e+00,60
1500,2.34382e-02,4.59834e+00,64
1600,2.41880e-02,4.59816e+00,67
1700,2.27766e-02,4.59901e+00,70
1800,2.34245e-02,4.59862e+00,74
1900,2.27780e-02,4.59936e+00,77
2000,2.36551e-02,4.59599e+00,81
