step,loss_function,target_value,elapsed_time
0,1.52992e+02,4.55438e+01,0
100,1.34339e+02,4.63317e+01,28
200,1.18541e+02,4.70730e+01,34
300,1.05200e+02,4.77750e+01,41
400,9.37982e+01,4.84418e+01,48
500,8.41004e+01,4.90726e+01,55
600,7.56035e+01,4.96760e+01,62
700,6.84464e+01,5.02478e+01,68
800,6.20674e+01,5.07949e+01,75
900,5.61789e+01,5.13292e+01,82
1000,5.12690e+01,5.18383e+01,89
1100,4.71375e+01,5.23120e+01,96
1200,4.35562e+01,5.27557e+01,102
1300,4.05409e+01,5.31718e+01,109
1400,3.79619e+01,5.35705e+01,116
1500,3.56686e+01,5.39504e+01,123
1600,3.37378e+01,5.43063e+01,131
1700,3.22598e+01,5.46367e+01,138
1800,3.09210e+01,5.49464e+01,146
1900,2.98845e+01,5.52236e+01,152
2000,2.90333e+01,5.54706e+01,159
2100,2.83736e+01,5.56909e+01,166
2200,2.78754e+01,5.58913e+01,173
2300,2.74737e+01,5.60688e+01,180
2400,2.71139e+01,5.62514e+01,186
2500,2.68016e+01,5.63892e+01,193
2600,2.65490e+01,5.65000e+01,200
2700,2.63114e+01,5.66189e+01,207
2800,2.62220e+01,5.67030e+01,214
2900,2.60973e+01,5.67890e+01,220
3000,2.60803e+01,5.68176e+01,227
3100,2.60948e+01,5.68723e+01,234
3200,2.60316e+01,5.69414e+01,241
3300,2.59942e+01,5.69742e+01,247
3400,2.60159e+01,5.69708e+01,257
3500,2.59237e+01,5.70138e+01,264
3600,2.58478e+01,5.70415e+01,271
3700,2.57638e+01,5.70564e+01,279
3800,2.57279e+01,5.70763e+01,286
3900,2.57346e+01,5.70348e+01,293
4000,2.56289e+01,5.70394e+01,301
4100,2.55594e+01,5.70357e+01,308
4200,2.55479e+01,5.70157e+01,315
4300,2.56391e+01,5.70630e+01,323
4400,2.56426e+01,5.70442e+01,330
4500,2.57929e+01,5.70454e+01,337
4600,2.57042e+01,5.70659e+01,345
4700,2.56997e+01,5.70583e+01,352
4800,2.58563e+01,5.70433e+01,359
4900,2.57459e+01,5.70283e+01,367
5000,2.57896e+01,5.70641e+01,375
5100,2.57946e+01,5.71136e+01,383
5200,2.59338e+01,5.70750e+01,391
5300,2.61070e+01,5.70593e+01,400
5400,2.60490e+01,5.70685e+01,410
5500,2.60210e+01,5.70464e+01,418
5600,2.60277e+01,5.70334e+01,427
5700,2.59709e+01,5.70908e+01,437
5800,2.59224e+01,5.70591e+01,447
5900,2.60108e+01,5.70326e+01,454
6000,2.59768e+01,5.70207e+01,462
