step,loss_function,target_value,elapsed_time
0,7.12614e+01,1.51271e+01,0
100,6.55284e+01,1.56167e+01,14
200,6.05166e+01,1.60927e+01,18
300,5.62584e+01,1.65424e+01,22
400,5.26942e+01,1.69657e+01,27
500,4.96795e+01,1.73691e+01,32
600,4.70269e+01,1.77587e+01,37
700,4.49713e+01,1.81210e+01,42
800,4.31199e+01,1.84715e+01,49
900,4.15903e+01,1.87973e+01,53
1000,4.03990e+01,1.90949e+01,56
1100,3.95454e+01,1.93746e+01,60
1200,3.88763e+01,1.96297e+01,66
1300,3.83442e+01,1.98656e+01,71
1400,3.78931e+01,2.00552e+01,75
1500,3.76665e+01,2.02512e+01,79
1600,3.73842e+01,2.04136e+01,83
1700,3.73966e+01,2.05549e+01,89
1800,3.73685e+01,2.06994e+01,94
1900,3.73928e+01,2.07979e+01,99
2000,3.74563e+01,2.08892e+01,102
2100,3.74465e+01,2.09391e+01,107
2200,3.73867e+01,2.10010e+01,113
2300,3.74195e+01,2.10682e+01,117
2400,3.74605e+01,2.10993e+01,123
2500,3.75792e+01,2.11472e+01,127
2600,3.75908e+01,2.11771e+01,132
2700,3.76925e+01,2.12280e+01,136
2800,3.76991e+01,2.12492e+01,139
2900,3.77153e+01,2.12462e+01,143
3000,3.77208e+01,2.12579e+01,147
3100,3.77085e+01,2.12345e+01,151
3200,3.75812e+01,2.12535e+01,155
3300,3.75889e+01,2.12585e+01,160
3400,3.76210e+01,2.12406e+01,164
3500,3.76090e+01,2.12449e+01,168
3600,3.75512e+01,2.12798e+01,172
3700,3.75509e+01,2.12649e+01,176
3800,3.75331e+01,2.12383e+01,180
3900,3.75967e+01,2.12333e+01,184
4000,3.76874e+01,2.12689e+01,188
